"VBIS Classification","2021-06-16",,,,"Brick Equipment Classes",,,,,,
"Level 1","Level 2","Level 3","Level 4",,,,,,,,
"Audio-Visual","Outdoor Screen",,,"AV-OS",,,,,,,
"Audio-Visual","Outdoor Screen","LED",,"AV-OS-LED",,,,,,,
"Audio-Visual","TV",,,"AV-TV",,,,,,,
"Audio-Visual","TV","LCD",,"AV-TV-LCD",,,,,,,
"Audio-Visual","TV","LED",,"AV-TV-LED",,,,,,,
"Audio-Visual","TV","OLED",,"AV-TV-OLED",,,,,,,
"Audio-Visual","TV","Plasma",,"AV-TV-Pl",,,,,,,
"Audio-Visual","Video Wall",,,"AV-VW",,,,,,,
"Audio-Visual","Video Wall","LED",,"AV-VW-LED",,,,,,,
"Audio-Visual","Video Character Generators",,,"AV-VCG",,,,,,,
"Audio-Visual","Vision Mixer",,,"AV-VMix",,,,,,,
"Audio-Visual","VTR",,,"AV-Vt",,,,,,,
"Audio-Visual","Webcast",,,"AV-We",,,,,,,
"Audio-Visual","Documents",,,"AV-Doc",,,,,,,
"Audio-Visual","Documents","Advice Note",,"AV-Doc-AN",,,,,,,
"Audio-Visual","Documents","Brief",,"AV-Doc-Br",,,,,,,
"Audio-Visual","Documents","Brief","Client","AV-Doc-Br-Cl",,,,,,,
"Audio-Visual","Documents","Brief","Return","AV-Doc-Br-Re",,,,,,,
"Audio-Visual","Documents","Calculations",,"AV-Doc-Calc",,,,,,,
"Audio-Visual","Documents","Certification",,"AV-Doc-Ce",,,,,,,
"Audio-Visual","Documents","Contract",,"AV-Doc-Co",,,,,,,
"Audio-Visual","Documents","Contract","Conditions","AV-Doc-Co-Co",,,,,,,
"Audio-Visual","Documents","Contract","Sub-contract","AV-Doc-Co-SC",,,,,,,
"Audio-Visual","Documents","Contract","Statement of Work","AV-Doc-Co-SOW",,,,,,,
"Audio-Visual","Documents","Contract","Return Brief","AV-Doc-Co-RB",,,,,,,
"Audio-Visual","Documents","Contract","Expression of Interest","AV-Doc-Co-EOI",,,,,,,
"Audio-Visual","Documents","Contract","Tender Submission","AV-Doc-Co-TS",,,,,,,
