qudt_uri,bsdd_code,source
http://qudt.org/vocab/unit/KiloLB_F-PER-IN2,,
http://qudt.org/vocab/unit/KiloM,km,bsdd-api
http://qudt.org/vocab/unit/KiloM-PER-HR,km/h,bsdd-api
http://qudt.org/vocab/unit/KiloM-PER-SEC,km/s,bsdd-api
http://qudt.org/vocab/unit/KiloN-M,,
http://qudt.org/vocab/unit/KiloN-PER-CentiM2,,
http://qudt.org/vocab/unit/KiloN-PER-M2,,
http://qudt.org/vocab/unit/KiloN-PER-MilliM2,,
http://qudt.org/vocab/unit/KiloPA,kPa,bsdd-api
http://qudt.org/vocab/unit/KiloPA-PER-BAR,,
http://qudt.org/vocab/unit/KiloPA_A,,
http://qudt.org/vocab/unit/KiloSEC,,
http://qudt.org/vocab/unit/KiloV,kV,bsdd-api
http://qudt.org/vocab/unit/KiloVA,,
http://qudt.org/vocab/unit/KiloVA-HR,,
http://qudt.org/vocab/unit/KiloVAR,,
http://qudt.org/vocab/unit/KiloVAR-HR,,
http://qudt.org/vocab/unit/KiloW,kW,bsdd-api
http://qudt.org/vocab/unit/KiloW-HR,kWh,bsdd-api
http://qudt.org/vocab/unit/KiloYR,,
http://qudt.org/vocab/unit/L,l,bsdd-api
http://qudt.org/vocab/unit/L-PER-DAY,,
http://qudt.org/vocab/unit/L-PER-HR,l/h,bsdd-api
http://qudt.org/vocab/unit/L-PER-MIN,l/min,bsdd-api
http://qudt.org/vocab/unit/L-PER-SEC,l/s,bsdd-api
http://qudt.org/vocab/unit/LA,,
http://qudt.org/vocab/unit/LA_FT,,
http://qudt.org/vocab/unit/LB-PER-FT3,,
http://qudt.org/vocab/unit/LB-PER-GAL_IMP,,
http://qudt.org/vocab/unit/LB-PER-GAL_UK,,
http://qudt.org/vocab/unit/LB-PER-GAL_US,,
http://qudt.org/vocab/unit/LB-PER-IN3,,
http://qudt.org/vocab/unit/LB-PER-M3,,
http://qudt.org/vocab/unit/LB-PER-YD3,,
http://qudt.org/vocab/unit/LB_F-FT,,
http://qudt.org/vocab/unit/LB_F-IN,,
http://qudt.org/vocab/unit/LB_F-PER-FT2,,
http://qudt.org/vocab/unit/LB_F-PER-IN2,,
http://qudt.org/vocab/unit/LM-PER-FT2,,
http://qudt.org/vocab/unit/LM-PER-M2,,
http://qudt.org/vocab/unit/LUX,lx,bsdd-api
http://qudt.org/vocab/unit/LY,,
http://qudt.org/vocab/unit/M,m,bsdd-api
http://qudt.org/vocab/unit/M-PER-HR,m/h,bsdd-api
http://qudt.org/vocab/unit/M-PER-SEC,m/s,bsdd-api
http://qudt.org/vocab/unit/M2,m²,bsdd-api
http://qudt.org/vocab/unit/M3,m³,bsdd-api
http://qudt.org/vocab/unit/M3-PER-DAY,,
http://qudt.org/vocab/unit/M3-PER-HR,m³/h,bsdd-api
http://qudt.org/vocab/unit/M3-PER-MIN,m³/min,bsdd-api
http://qudt.org/vocab/unit/M3-PER-SEC,m³/s,bsdd-api
http://qudt.org/vocab/unit/M3-PER-YR,,
http://qudt.org/vocab/unit/MI,mile,bsdd-api
http://qudt.org/vocab/unit/MI-PER-HR,,
http://qudt.org/vocab/unit/MI-PER-SEC,,
http://qudt.org/vocab/unit/MI3,,
http://qudt.org/vocab/unit/MIL,,
http://qudt.org/vocab/unit/MIL_Angle,,
http://qudt.org/vocab/unit/MIN,min,bsdd-api
http://qudt.org/vocab/unit/MIN_Angle,,
http://qudt.org/vocab/unit/MIN_Sidereal,,
http://qudt.org/vocab/unit/MI_N,,
http://qudt.org/vocab/unit/MI_UK,,
http://qudt.org/vocab/unit/MI_UK3,,
http://qudt.org/vocab/unit/MI_US,,
http://qudt.org/vocab/unit/MO,Month,bsdd-api
http://qudt.org/vocab/unit/MO_MeanGREGORIAN,,
http://qudt.org/vocab/unit/MO_MeanJulian,,
http://qudt.org/vocab/unit/MO_Synodic,,
http://qudt.org/vocab/unit/M_H2O,,
http://qudt.org/vocab/unit/MegaA,,
http://qudt.org/vocab/unit/MegaBAR,,
http://qudt.org/vocab/unit/MegaBTU_IT,,
http://qudt.org/vocab/unit/MegaBTU_IT-PER-HR,,
http://qudt.org/vocab/unit/MegaEV,,
http://qudt.org/vocab/unit/MegaGM-PER-M3,,
http://qudt.org/vocab/unit/MegaHZ,MHz,bsdd-api
http://qudt.org/vocab/unit/MegaHZ-M,,
http://qudt.org/vocab/unit/MegaJ,MJ,bsdd-api
http://qudt.org/vocab/unit/MegaJ-PER-HR,,
http://qudt.org/vocab/unit/MegaJ-PER-SEC,,
http://qudt.org/vocab/unit/MegaK,,
http://qudt.org/vocab/unit/MegaL,,
http://qudt.org/vocab/unit/MegaN-M,,
http://qudt.org/vocab/unit/MegaN-PER-M2,,
http://qudt.org/vocab/unit/MegaPA,MPa,bsdd-api
http://qudt.org/vocab/unit/MegaPA-L-PER-SEC,,
http://qudt.org/vocab/unit/MegaPA-M3-PER-SEC,,
http://qudt.org/vocab/unit/MegaPA-PER-BAR,,
